uuid,ocdid,state,name
29664600-5499-5841-90a7-e8c9ed6027e2,ocd-division/country:us/state:wa/county:pierce/council_district:1,wa,Pierce County WA County Council District 1
2d2d1f26-344a-5f05-adc1-aeaa2939a204,ocd-division/country:us/state:wa/county:pierce/council_district:2,wa,Pierce County WA County Council District 2
c162c24c-dd2c-5edd-9200-787224f64dbc,ocd-division/country:us/state:wa/county:pierce/council_district:3,wa,Pierce County WA County Council District 3
53a30aa5-54f8-5d7b-a634-39193d89afbe,ocd-division/country:us/state:wa/county:pierce/council_district:4,wa,Pierce County WA County Council District 4
30013ade-fc71-5400-b21a-f5f547b896dd,ocd-division/country:us/state:wa/county:pierce/council_district:5,wa,Pierce County WA County Council District 5
74833336-e1c7-5465-b3a2-da1e8c57bdde,ocd-division/country:us/state:wa/county:pierce/council_district:6,wa,Pierce County WA County Council District 6
fa62f957-26e8-54ec-ae5e-9926d5efb244,ocd-division/country:us/state:wa/county:pierce/council_district:7,wa,Pierce County WA County Council District 7
58153c62-04ca-5ae7-a76c-8463fc531d13,ocd-division/country:us/state:wa/county:skagit/council_district:1,wa,Skagit County District 1
0395a5d8-1bbb-58cc-b727-257871155be1,ocd-division/country:us/state:wa/county:skagit/council_district:2,wa,Skagit County District 2
3d4009ad-06bd-54d9-9a90-355b9058c015,ocd-division/country:us/state:wa/county:skagit/council_district:3,wa,Skagit County District 3
40f28ad8-4e8a-57f4-911b-80dc0715b321,ocd-division/country:us/state:wa/county:skamania/council_district:1,wa,Skamania County District 1
f32ffbe3-64a9-5a6f-9dac-daea537e3a0b,ocd-division/country:us/state:wa/county:skamania/council_district:2,wa,Skamania County District 2
b67707bd-1564-5743-ba5a-03667abb1fee,ocd-division/country:us/state:wa/county:skamania/council_district:3,wa,Skamania County District 3
acec0d93-bb36-572d-aeba-baefb944325e,ocd-division/country:us/state:wa/county:snohomish/council_district:1,wa,Snohomish County WA County Council District 1
c434c377-1353-51c4-ab75-478e459dfc96,ocd-division/country:us/state:wa/county:snohomish/council_district:2,wa,Snohomish County WA County Council District 2
ff6a84cc-d653-505e-ab43-feaed37949bf,ocd-division/country:us/state:wa/county:snohomish/council_district:3,wa,Snohomish County WA County Council District 3
9234bb90-ad92-53fc-9d6a-fe89cfb327db,ocd-division/country:us/state:wa/county:snohomish/council_district:4,wa,Snohomish County WA County Council District 4
0efbf14f-3d79-5e43-88b9-4e306a5bdcb7,ocd-division/country:us/state:wa/county:snohomish/council_district:5,wa,Snohomish County WA County Council District 5
d52725df-21f1-5775-8e6e-032cc86b8c7a,ocd-division/country:us/state:wa/county:spokane/council_district:1,wa,Spokane County WA County Commissioner District 1
b503de39-87ec-5e0f-ab12-058d546c36eb,ocd-division/country:us/state:wa/county:spokane/council_district:2,wa,Spokane County WA County Commissioner District 2
307e3dfc-9c04-5116-af77-77871654c254,ocd-division/country:us/state:wa/county:spokane/council_district:3,wa,Spokane County WA County Commissioner District 3
cfc9b930-604e-5f58-8675-9ca24220ad13,ocd-division/country:us/state:wa/county:spokane/council_district:4,wa,Spokane County WA County Commissioner District 4
